game_id,game_date,away_team,home_team,predicted_at,model_version,pregame,preseason,replay,p_final,p_elo,p_glm,p_prior,starter_edge,favored_team,away_score,home_score,winner,graded,correct
401879453,2026-09-26,Columbus Blue Jackets,Detroit Red Wings,2026-09-23T00:47:16Z,3,1,1,,0.3419,0.5488,,0.2651,,Columbus Blue Jackets,,,,0,
401879457,2026-09-26,Pittsburgh Penguins,Buffalo Sabres,2026-09-23T00:47:16Z,3,1,1,,0.18,0.5488,,0.0582,,Pittsburgh Penguins,,,,0,
401879647,2026-09-26,New Jersey Devils,New York Islanders,2026-09-23T00:47:16Z,3,1,1,,0.2197,0.5488,,0.1307,,New Jersey Devils,,,,0,
401879651,2026-09-26,Montreal Canadiens,Ottawa Senators,2026-09-23T00:47:16Z,3,1,1,,0.319,0.5488,,0.2373,,Montreal Canadiens,,,,0,
401879653,2026-09-26,Seattle Kraken,Vancouver Canucks,2026-09-23T00:47:16Z,3,1,1,,0.18,0.5488,,0.088,,Seattle Kraken,,,,0,
401879935,2026-09-26,Carolina Hurricanes,Nashville Predators,2026-09-23T00:47:16Z,3,1,1,,0.5858,0.5488,,0.6014,,Nashville Predators,,,,0,
401881134,2026-09-26,Tampa Bay Lightning,Florida Panthers,2026-09-23T00:47:16Z,3,1,1,,0.5858,0.5488,,0.6014,,Florida Panthers,,,,0,
401881724,2026-09-26,Ottawa Senators,Montreal Canadiens,2026-09-23T00:47:16Z,3,1,1,,0.7852,0.5488,,0.8542,,Montreal Canadiens,,,,0,
401886261,2026-09-26,St. Louis Blues,Chicago Blackhawks,2026-09-23T00:47:16Z,3,1,1,,0.793,0.5488,,0.8623,,Chicago Blackhawks,,,,0,
401891773,2026-09-29,Florida Panthers,Carolina Hurricanes,2026-09-23T00:47:16Z,3,1,0,,0.1942,0.5488,,0.1075,,Florida Panthers,,,,0,
401891774,2026-09-29,New York Rangers,Boston Bruins,2026-09-23T00:47:16Z,3,1,0,,0.82,0.5488,,0.9238,,Boston Bruins,,,,0,
401891775,2026-09-29,Chicago Blackhawks,Vegas Golden Knights,2026-09-23T00:47:16Z,3,1,0,,0.7081,0.5488,,0.7653,,Vegas Golden Knights,,,,0,
401891804,2026-09-29,Vancouver Canucks,Edmonton Oilers,2026-09-23T00:47:16Z,3,1,0,,0.82,0.5488,,0.9548,,Edmonton Oilers,,,,0,
401891827,2026-09-29,Montreal Canadiens,Toronto Maple Leafs,2026-09-23T00:47:16Z,3,1,0,,0.2279,0.5488,,0.1386,,Montreal Canadiens,,,,0,
401891780,2026-09-30,Los Angeles Kings,Colorado Avalanche,2026-09-23T00:47:16Z,3,1,0,,0.7808,0.5488,,0.8495,,Colorado Avalanche,,,,0,
401891821,2026-09-30,Pittsburgh Penguins,Philadelphia Flyers,2026-09-23T00:47:16Z,3,1,0,,0.18,0.5488,,0.0646,,Pittsburgh Penguins,,,,0,
401892431,2026-09-30,New York Islanders,Toronto Maple Leafs,2026-09-23T00:47:16Z,3,1,0,,0.6033,0.5488,,0.626,,Toronto Maple Leafs,,,,0,
401891777,2026-10-01,Seattle Kraken,Calgary Flames,2026-09-23T00:47:16Z,3,1,0,,0.18,0.5488,,0.088,,Seattle Kraken,,,,0,
401891781,2026-10-01,Buffalo Sabres,Columbus Blue Jackets,2026-09-23T00:47:16Z,3,1,0,,0.82,0.5488,,0.9497,,Columbus Blue Jackets,,,,0,
401891816,2026-10-01,Minnesota Wild,Nashville Predators,2026-09-23T00:47:16Z,3,1,0,,0.3089,0.5488,,0.2254,,Minnesota Wild,,,,0,
401891817,2026-10-01,Philadelphia Flyers,New Jersey Devils,2026-09-23T00:47:16Z,3,1,0,,0.82,0.5488,,0.9442,,New Jersey Devils,,,,0,
401891819,2026-10-01,Tampa Bay Lightning,New York Rangers,2026-09-23T00:47:16Z,3,1,0,,0.2197,0.5488,,0.1307,,Tampa Bay Lightning,,,,0,
401891823,2026-10-01,Florida Panthers,San Jose Sharks,2026-09-23T00:47:16Z,3,1,0,,0.18,0.5488,,0.088,,Florida Panthers,,,,0,
401891828,2026-10-01,Chicago Blackhawks,Utah Mammoth,2026-09-23T00:47:16Z,3,1,0,,0.2466,0.5488,,0.1572,,Chicago Blackhawks,,,,0,
401891829,2026-10-01,Edmonton Oilers,Vancouver Canucks,2026-09-23T00:47:16Z,3,1,0,,0.18,0.5488,,0.0794,,Edmonton Oilers,,,,0,
401891782,2026-10-02,St. Louis Blues,Dallas Stars,2026-09-23T00:47:16Z,3,1,0,,0.82,0.5488,,0.9238,,Dallas Stars,,,,0,
401891803,2026-10-02,New York Rangers,Detroit Red Wings,2026-09-23T00:47:16Z,3,1,0,,0.707,0.5488,,0.764,,Detroit Red Wings,,,,0,
401891831,2026-10-02,Boston Bruins,Winnipeg Jets,2026-09-23T00:47:16Z,3,1,0,,0.3596,0.5488,,0.2873,,Boston Bruins,,,,0,
401892432,2026-10-02,Washington Capitals,Carolina Hurricanes,2026-09-23T00:47:16Z,3,1,0,,0.2614,0.5488,,0.1725,,Washington Capitals,,,,0,
401892433,2026-10-02,Anaheim Ducks,Vegas Golden Knights,2026-09-23T00:47:16Z,3,1,0,,0.5476,0.5488,,0.5471,,Vegas Golden Knights,,,,0,
401891776,2026-10-03,Chicago Blackhawks,Buffalo Sabres,2026-09-23T00:47:16Z,3,1,0,,0.2466,0.5488,,0.1572,,Chicago Blackhawks,,,,0,
401891814,2026-10-03,Boston Bruins,Minnesota Wild,2026-09-23T00:47:16Z,3,1,0,,0.4519,0.5488,,0.411,,Boston Bruins,,,,0,
401891818,2026-10-03,New Jersey Devils,New York Islanders,2026-09-23T00:47:16Z,3,1,0,,0.2197,0.5488,,0.1307,,New Jersey Devils,,,,0,
401891822,2026-10-03,Montreal Canadiens,Pittsburgh Penguins,2026-09-23T00:47:16Z,3,1,0,,0.6168,0.5488,,0.6448,,Pittsburgh Penguins,,,,0,
401891826,2026-10-03,Washington Capitals,Tampa Bay Lightning,2026-09-23T00:47:16Z,3,1,0,,0.6399,0.5488,,0.6764,,Tampa Bay Lightning,,,,0,
401892434,2026-10-03,Ottawa Senators,Toronto Maple Leafs,2026-09-23T00:47:16Z,3,1,0,,0.4519,0.5488,,0.411,,Ottawa Senators,,,,0,
401892435,2026-10-03,Carolina Hurricanes,Philadelphia Flyers,2026-09-23T00:47:16Z,3,1,0,,0.5282,0.5488,,0.5194,,Philadelphia Flyers,,,,0,
