game_id,game_date,away_team,home_team,predicted_at,model_version,pregame,preseason,p_final,p_elo,p_glm,p_prior,starter_edge,favored_team,away_score,home_score,winner,graded,correct
401872935,2026-09-20,Cleveland Browns,Tampa Bay Buccaneers,2026-09-16T00:33:25Z,3,1,0,0.475,0.5837,,0.4278,,Cleveland Browns,,,,0,
401872936,2026-09-20,Green Bay Packers,New York Jets,2026-09-16T00:33:25Z,3,1,0,0.6604,0.6441,,0.6674,,New York Jets,,,,0,
401872937,2026-09-20,Minnesota Vikings,Chicago Bears,2026-09-16T00:33:25Z,3,1,0,0.489,0.5856,,0.4468,,Minnesota Vikings,,,,0,
401872938,2026-09-20,New Orleans Saints,Baltimore Ravens,2026-09-16T00:33:25Z,3,1,0,0.6647,0.6241,,0.6817,,Baltimore Ravens,,,,0,
401872939,2026-09-20,Philadelphia Eagles,Tennessee Titans,2026-09-16T00:33:25Z,3,1,0,0.3122,0.5116,,0.2399,,Philadelphia Eagles,,,,0,
401872940,2026-09-20,Jacksonville Jaguars,Denver Broncos,2026-09-16T00:33:25Z,3,1,0,0.3342,0.4924,,0.2737,,Jacksonville Jaguars,,,,0,
401872941,2026-09-20,Las Vegas Raiders,Los Angeles Chargers,2026-09-16T00:33:25Z,3,1,0,0.3172,0.4933,,0.2519,,Las Vegas Raiders,,,,0,
401872942,2026-09-20,Miami Dolphins,San Francisco 49ers,2026-09-16T00:33:25Z,3,1,0,0.658,0.6483,,0.6621,,San Francisco 49ers,,,,0,
401872943,2026-09-20,Seattle Seahawks,Arizona Cardinals,2026-09-16T00:33:25Z,3,1,0,0.4875,0.594,,0.4409,,Seattle Seahawks,,,,0,
401872944,2026-09-20,Washington Commanders,Dallas Cowboys,2026-09-16T00:33:25Z,3,1,0,0.491,0.5555,,0.4629,,Washington Commanders,,,,0,
401872945,2026-09-20,Indianapolis Colts,Kansas City Chiefs,2026-09-16T00:33:25Z,3,1,0,0.6541,0.651,,0.6554,,Kansas City Chiefs,,,,0,
401872946,2026-09-20,Pittsburgh Steelers,New England Patriots,2026-09-16T00:33:25Z,3,1,0,0.3118,0.5269,,0.2345,,Pittsburgh Steelers,,,,0,
401872947,2026-09-21,New York Giants,Los Angeles Rams,2026-09-16T00:33:25Z,3,1,0,0.3185,0.4914,,0.2542,,New York Giants,,,,0,
401872948,2026-09-24,Atlanta Falcons,Green Bay Packers,2026-09-16T00:33:25Z,3,1,0,0.4962,0.5589,,0.4688,,Atlanta Falcons,,,,0,
401872949,2026-09-27,Carolina Panthers,Cleveland Browns,2026-09-16T00:33:25Z,3,1,0,0.4949,0.5817,,0.457,,Carolina Panthers,,,,0,
401872950,2026-09-27,Cincinnati Bengals,Pittsburgh Steelers,2026-09-16T00:33:25Z,3,1,0,0.4883,0.5702,,0.4526,,Cincinnati Bengals,,,,0,
401872951,2026-09-27,Houston Texans,Indianapolis Colts,2026-09-16T00:33:25Z,3,1,0,0.4964,0.5496,,0.4732,,Houston Texans,,,,0,
401872952,2026-09-27,Kansas City Chiefs,Miami Dolphins,2026-09-16T00:33:25Z,3,1,0,0.3267,0.4986,,0.2621,,Kansas City Chiefs,,,,0,
401872953,2026-09-27,Los Angeles Chargers,Buffalo Bills,2026-09-16T00:33:25Z,3,1,0,0.6706,0.6383,,0.6842,,Buffalo Bills,,,,0,
401872954,2026-09-27,New York Jets,Detroit Lions,2026-09-16T00:33:25Z,3,1,0,0.4904,0.5333,,0.4717,,New York Jets,,,,0,
401872955,2026-09-27,Seattle Seahawks,Washington Commanders,2026-09-16T00:33:25Z,3,1,0,0.3104,0.5388,,0.2292,,Seattle Seahawks,,,,0,
401872956,2026-09-27,Tennessee Titans,New York Giants,2026-09-16T00:33:25Z,3,1,0,0.6664,0.6364,,0.6791,,New York Giants,,,,0,
401872957,2026-09-27,New England Patriots,Jacksonville Jaguars,2026-09-16T00:33:25Z,3,1,0,0.6568,0.6225,,0.6713,,Jacksonville Jaguars,,,,0,
401872958,2026-09-27,Arizona Cardinals,San Francisco 49ers,2026-09-16T00:33:25Z,3,1,0,0.4831,0.5765,,0.4424,,Arizona Cardinals,,,,0,
401872959,2026-09-27,Minnesota Vikings,Tampa Bay Buccaneers,2026-09-16T00:33:25Z,3,1,0,0.319,0.5103,,0.2486,,Minnesota Vikings,,,,0,
401872960,2026-09-27,Baltimore Ravens,Dallas Cowboys,2026-09-16T00:33:25Z,3,1,0,0.3171,0.4931,,0.2519,,Baltimore Ravens,,,,0,
401872961,2026-09-27,Las Vegas Raiders,New Orleans Saints,2026-09-16T00:33:25Z,3,1,0,0.3165,0.5277,,0.2399,,Las Vegas Raiders,,,,0,
401872962,2026-09-27,Los Angeles Rams,Denver Broncos,2026-09-16T00:33:25Z,3,1,0,0.494,0.5817,,0.4556,,Los Angeles Rams,,,,0,
401872963,2026-09-28,Philadelphia Eagles,Chicago Bears,2026-09-16T00:33:25Z,3,1,0,0.4801,0.6065,,0.4249,,Philadelphia Eagles,,,,0,
