game_date,away_team,home_team,status,winner,favored_team,away_win_probability,home_win_probability,game_id,away_score,home_score,away_record,home_record,away_win_pct,home_win_pct,away_pt_diff_pg,home_pt_diff_pg,away_ypg_off,home_ypg_off,away_ypg_def,home_ypg_def,away_to_margin,home_to_margin,season_type,season_slug,game_start_utc,game_time
2026-08-28,Arizona Cardinals,Green Bay Packers,Final,Green Bay Packers,Arizona Cardinals,0.7447,0.2553,401874102,38,42,1-3,2-1,1.0,0.0,12.0,-17.0,340.0,340.0,340.0,340.0,0.0,0.0,1.0,preseason,2026-08-29T00:00Z,8:00 PM ET
2026-08-28,Seattle Seahawks,Kansas City Chiefs,Final,Kansas City Chiefs,Seattle Seahawks,0.5722,0.4278,401873305,9,9,0-2-1,0-2-1,1.0,1.0,3.0,21.0,340.0,340.0,340.0,340.0,0.0,0.0,1.0,preseason,2026-08-29T00:00Z,8:00 PM ET
2026-08-28,Cincinnati Bengals,Philadelphia Eagles,Final,Cincinnati Bengals,Cincinnati Bengals,0.54,0.46,401873301,30,13,3-0,0-3,1.0,1.0,6.0,2.0,340.0,340.0,340.0,340.0,0.0,0.0,1.0,preseason,2026-08-29T00:00Z,8:00 PM ET
2026-08-28,Minnesota Vikings,Denver Broncos,Final,Denver Broncos,Minnesota Vikings,0.7345,0.2655,401873614,6,34,1-2,2-1,1.0,0.0,17.0,-21.0,340.0,340.0,340.0,340.0,0.0,0.0,1.0,preseason,2026-08-29T01:00Z,9:00 PM ET
2026-08-29,Detroit Lions,Indianapolis Colts,Final,Detroit Lions,Detroit Lions,0.7558,0.2442,401873308,25,16,2-1,0-2-1,1.0,0.0,1.0,-18.0,340.0,340.0,340.0,340.0,0.0,0.0,1.0,preseason,2026-08-29T17:00Z,1:00 PM ET
2026-08-29,Chicago Bears,Tennessee Titans,Final,Chicago Bears,Chicago Bears,0.7379,0.2621,401874394,24,15,2-1,2-1,1.0,0.0,22.0,-13.0,340.0,340.0,340.0,340.0,0.0,0.0,1.0,preseason,2026-08-29T22:00Z,6:00 PM ET
2026-09-09,New England Patriots,Seattle Seahawks,Final,Seattle Seahawks,Seattle Seahawks,0.3019,0.6981,401872656,10,13,0-1,1-0,0.0,1.0,-3.0,3.0,340.0,340.0,340.0,340.0,0.0,0.0,2.0,regular-season,2026-09-10T00:20Z,8:20 PM ET
2026-09-10,San Francisco 49ers,Los Angeles Rams,Final,San Francisco 49ers,San Francisco 49ers,0.7321,0.2679,401872657,27,7,1-0,0-1,1.0,0.0,20.0,-20.0,340.0,340.0,340.0,340.0,0.0,0.0,2.0,regular-season,2026-09-11T00:35Z,8:35 PM ET
2026-09-13,Tampa Bay Buccaneers,Cincinnati Bengals,Final,Cincinnati Bengals,Cincinnati Bengals,0.3094,0.6906,401872925,27,33,0-1,1-0,0.0,1.0,-6.0,6.0,340.0,340.0,340.0,340.0,0.0,0.0,2.0,regular-season,2026-09-13T17:00Z,1:00 PM ET
2026-09-13,New Orleans Saints,Detroit Lions,Final,Detroit Lions,Detroit Lions,0.2969,0.7031,401872923,30,31,0-1,1-0,0.0,1.0,-1.0,1.0,340.0,340.0,340.0,340.0,0.0,0.0,2.0,regular-season,2026-09-13T17:00Z,1:00 PM ET
