game_date,away_team,home_team,status,winner,favored_team,away_win_probability,home_win_probability,game_id,away_score,home_score,away_record,home_record,away_pts_pct,home_pts_pct,away_gf_pg,home_gf_pg,away_ga_pg,home_ga_pg,away_pp_pct,home_pp_pct,away_pk_pct,home_pk_pct,away_save_pct,home_save_pct,season_type,season_slug,game_start_utc,game_time
2026-09-22,Utah Mammoth,Los Angeles Kings,Scheduled,,Los Angeles Kings,0.4256,0.5744,401879366,0,0,0-0-0,0-0-0,0.0,0.0,3.0,3.0,3.0,3.0,20.0,20.0,80.0,80.0,0.91,0.91,1.0,preseason,2026-09-23T02:00Z,10:00 PM ET
2026-09-22,Vegas Golden Knights,San Jose Sharks,Scheduled,,San Jose Sharks,0.4256,0.5744,401879413,0,0,0-0-0,0-0-0,0.0,0.0,3.0,3.0,3.0,3.0,20.0,20.0,80.0,80.0,0.91,0.91,1.0,preseason,2026-09-23T02:00Z,10:00 PM ET
2026-09-23,Toronto Maple Leafs,Ottawa Senators,Scheduled,,Ottawa Senators,0.4256,0.5744,401879650,0,0,0-0-0,0-0-0,0.0,0.0,3.0,3.0,3.0,3.0,20.0,20.0,80.0,80.0,0.91,0.91,1.0,preseason,2026-09-23T23:00Z,7:00 PM ET
2026-09-23,Ottawa Senators,Toronto Maple Leafs,Scheduled,,Toronto Maple Leafs,0.4256,0.5744,401886441,0,0,0-0-0,0-0-0,0.0,0.0,3.0,3.0,3.0,3.0,20.0,20.0,80.0,80.0,0.91,0.91,1.0,preseason,2026-09-23T23:00Z,7:00 PM ET
2026-09-23,Minnesota Wild,Dallas Stars,Scheduled,,Dallas Stars,0.4256,0.5744,401886429,0,0,0-0-0,0-0-0,0.0,0.0,3.0,3.0,3.0,3.0,20.0,20.0,80.0,80.0,0.91,0.91,1.0,preseason,2026-09-24T00:00Z,8:00 PM ET
2026-09-23,Los Angeles Kings,Anaheim Ducks,Scheduled,,Anaheim Ducks,0.4256,0.5744,401879369,0,0,0-0-0,0-0-0,0.0,0.0,3.0,3.0,3.0,3.0,20.0,20.0,80.0,80.0,0.91,0.91,1.0,preseason,2026-09-24T02:00Z,10:00 PM ET
2026-09-24,Boston Bruins,Philadelphia Flyers,Scheduled,,Philadelphia Flyers,0.4256,0.5744,401879363,0,0,0-0-0,0-0-0,0.0,0.0,3.0,3.0,3.0,3.0,20.0,20.0,80.0,80.0,0.91,0.91,1.0,preseason,2026-09-24T23:00Z,7:00 PM ET
2026-09-24,Buffalo Sabres,Detroit Red Wings,Scheduled,,Detroit Red Wings,0.4256,0.5744,401879452,0,0,0-0-0,0-0-0,0.0,0.0,3.0,3.0,3.0,3.0,20.0,20.0,80.0,80.0,0.91,0.91,1.0,preseason,2026-09-24T23:00Z,7:00 PM ET
2026-09-24,Pittsburgh Penguins,Columbus Blue Jackets,Scheduled,,Columbus Blue Jackets,0.4256,0.5744,401879455,0,0,0-0-0,0-0-0,0.0,0.0,3.0,3.0,3.0,3.0,20.0,20.0,80.0,80.0,0.91,0.91,1.0,preseason,2026-09-24T23:00Z,7:00 PM ET
2026-09-24,New Jersey Devils,New York Rangers,Scheduled,,New York Rangers,0.4256,0.5744,401879646,0,0,0-0-0,0-0-0,0.0,0.0,3.0,3.0,3.0,3.0,20.0,20.0,80.0,80.0,0.91,0.91,1.0,preseason,2026-09-24T23:00Z,7:00 PM ET
2026-09-24,Nashville Predators,Carolina Hurricanes,Scheduled,,Carolina Hurricanes,0.4256,0.5744,401879934,0,0,0-0-0,0-0-0,0.0,0.0,3.0,3.0,3.0,3.0,20.0,20.0,80.0,80.0,0.91,0.91,1.0,preseason,2026-09-24T23:00Z,7:00 PM ET
